OrderBy,player1,player1,player1_score,player2_score,Event,winner
65,Jazair,Doktai,5,0,Season 1,Jazair
64,Aarpia,HolyCarp,5,0,Season 1,Aarpia
63,Baddy,Zollith,5,3,Season 1,Baddy
62,Fanlee Jr,Ceiwen,5,3,Season 1,Fanlee Jr
61,Blade of Flame,LozKias,5,1,Season 1,Blade of Flame
60,Domitto,DarthSeppius,10,9,Season 1,Domitto
59,Algernon,Taokaka Meow,5,3,Season 1,Algernon
58,Volty,Ryuki,5,1,Season 1,Volty
57,Doktai,Aby,5,1,Season 1,Doktai
56,D3xus,Ssylus,5,3,Season 1,D3xus
55,Sett,VileMuffin,5,2,Season 1,Sett
54,Ventras,Hamidumi,5,0,Season 1,Ventras
53,Nickvold,TapiocaKing,5,3,Season 1,Nickvold
52,Taz,Sekirei,5,2,Season 1,Taz
51,Zephyrion,PanPan,5,0,Season 1,Zephyrion
50,D3xus,Aelz,10,1,Season 1,D3xus
49,Carnhulio,Vegasvat,5,4,Season 1,Carnhulio
48,Carriacou,Stray,5,4,Season 1,Carriacou
47,Jazair,Prizvel,5,0,Season 1,Jazair
46,ZappySoyou,Spirit410,5,3,Season 1,ZappySoyou
45,Azizure,dopppa,5,1,Season 1,Azizure
44,MonkeyKing,Terachi,5,1,Season 1,MonkeyKing
43,SHARK,Tadlos,5,4,Season 1,SHARK
42,Aarpia,DarthSeppius,10,4,Season 1,Aarpia
41,Baddy,Mozarus,5,1,Season 1,Baddy
40,Aby,Stray,5,3,Season 1,Aby
39,Carriacou,TapiocaKing,5,0,Season 1,Carriacou
38,Ganondeurf,Spirit410,5,2,Season 1,Ganondeurf
37,Valhanya,Carnhulio,5,0,Season 1,Valhanya
36,Guilu,MonkeyKing,5,0,Season 1,Guilu
35,Vegasvat,Ol[d]cadan,5,3,Season 1,Vegasvat
34,Volty,Ennvill,5,4,Season 1,Volty
33,Zephyrion,SHARK,5,2,Season 1,Zephyrion
32,Spear,Hamidumi,5,0,Season 1,Spear
31,Domitto,Neon,10,8,Season 1,Domitto
30,Ceiwen,Sekirei,5,3,Season 1,Ceiwen
29,VileMuffin,Taokaka Meow,5,4,Season 1,VileMuffin
28,PanPan,Yuusha42,5,4,Season 1,PanPan
27,Sams,Habaduba,10,6,Season 1,Sams
26,Sett,Doktai,5,4,Season 1,Sett
25,Graveryl,Momotehk,5,1,Season 1,Graveryl
24,Azizure,Taz,5,4,Season 1,Azizure
23,Ssylus,Andyroo,10,3,Season 1,Ssylus
